'대여일자','대여소번호','대여소','대여구분코드','성별','연령대코드','이용건수','운동량','탄소량','이동거리(M)','이동시간(분)'
'2018-05','1289',' 풍납동 자전거보관소','일일(회원)','F','50대',2,169.67,1.68,7250,135
'2018-05','1681',' 현대6차 아파트','일일(회원)','F','50대',2,245.62,2.42,10410,72
'2018-05','1682',' 중계종합사회복지관 교차로','일일(회원)','F','50대',1,76.34,0.71,3060,18
'2018-05','3510',' 중곡SK아파트앞','일일(회원)','F','50대',2,103.56,1.21,5230,56
'2018-05','327',' 낙원상가 옆','일일(회원)','F','50대',4,279.46,2.78,11970,119
'2018-05','328',' 탑골공원 앞','일일(회원)','F','50대',1,81.22,0.68,2930,26
'2018-05','329',' 청계2가 사거리 옆','일일(회원)','F','50대',2,270.84,2.34,10080,90
'2018-05','111',' 상수역 2번출구 앞','일일(회원)','F','50대',2,495.89,5.05,21760,116
'2018-05','334',' 종로3가역 2번출구 뒤','일일(회원)','F','50대',1,248.37,1.48,6400,42
'2018-05','340',' 혜화동 로터리','일일(회원)','F','50대',2,309.96,2.57,11060,164
'2018-05','341',' 혜화역 3번출구 뒤','일일(회원)','F','50대',1,81.92,1,4310,31
'2018-05','342',' 대학로 마로니에공원','일일(회원)','F','50대',2,60.15,0.5,2170,23
'2018-05','112',' 극동방송국 앞','일일(회원)','F','50대',4,331.56,2.54,10910,84
'2018-05','344',' 성균관대 E하우스 앞','일일(회원)','F','50대',1,106.25,1.2,5160,46
'2018-05','346',' 맥스타일 앞','일일(회원)','F','50대',4,900.8,7.6,32740,260
'2018-05','352',' 중앙고입구 삼거리','일일(회원)','F','50대',1,22.89,0.29,1230,8
'2018-05','117',' 홍은사거리','일일(회원)','F','50대',6,1364.86,13.72,59170,418
'2018-05','355',' 서울사대부속초교 앞','일일(회원)','F','50대',1,57.72,0.61,2650,20
'2018-05','356',' KT혜화지사 앞','일일(회원)','F','50대',1,92.03,0.77,3320,40
'2018-05','358',' 성대입구 사거리','일일(회원)','F','50대',3,168.38,1.17,5050,63
'2018-05','359',' 원남동사거리','일일(회원)','F','50대',1,27.44,0.23,990,13
'2018-05','361',' 동묘앞역 1번출구 뒤','일일(회원)','F','50대',6,206.68,4.49,19350,139
'2018-05','363',' 신설동역 11번출구 뒤','일일(회원)','F','50대',3,42.61,0.47,2000,25
'2018-05','113',' 홍대입구역 2번출구 앞','일일(회원)','F','50대',5,926.48,8.74,37640,477
'2018-05','368',' SK 서린빌딩 앞','일일(회원)','F','50대',1,0,0,0,6
'2018-05','348',' 독립문역 사거리','일일(회원)','F','50대',1,38.35,0.35,1490,31
'2018-05','372',' 약수역 3번출구 뒤','일일(회원)','F','50대',1,59.97,0.54,2330,25
'2018-05','377',' 서울역 4번출구 앞','일일(회원)','F','50대',1,255.34,2.3,9920,94
'2018-05','378',' 청계7가 사거리','일일(회원)','F','50대',8,311.79,6.94,29890,172
'2018-05','383',' 신당역 12번 출구 뒤','일일(회원)','F','50대',4,362.42,3.26,14080,114
'2018-05','114',' 홍대입구역 8번출구 앞','일일(회원)','F','50대',4,447.19,4.18,18020,168
'2018-05','142',' 아현역 4번출구 앞','일일(회원)','F','50대',1,58.8,0.59,2560,26
'2018-05','144',' 공덕역 8번출구','일일(회원)','F','50대',6,1541.88,12.86,55460,323
'2018-05','146',' 마포역 1번출구 뒤','일일(회원)','F','50대',5,1220.55,11.53,49710,322
'2018-05','147',' 마포역 4번출구 뒤','일일(회원)','F','50대',7,2488.97,23.36,100660,339
'2018-05','148',' 용강동 주민센터 앞','일일(회원)','F','50대',5,883.52,7.31,31500,268
'2018-05','150',' 서강대역 2번출구 앞','일일(회원)','F','50대',4,329.71,3.19,13730,165
'2018-05','151',' 망원1동주민센터','일일(회원)','F','50대',2,311.51,3.33,14390,104
'2018-05','152',' 마포구민체육센터 앞','일일(회원)','F','50대',13,2570.08,24.97,107700,775
'2018-05','119',' 서강나루 공원','일일(회원)','F','50대',6,1177.67,11.97,51630,382
