연월,대여소번호,이용건수,이동거리,이용시간,자치구
2018-01,1961,119,376830.0,2982,구로구
2018-01,1962,87,191280.0,1354,구로구
2018-01,1963,24,100370.0,296,미상
2018-01,1975,61,359210.0,1704,구로구
2018-01,1976,35,59120.0,529,구로구
2018-01,1979,33,170730.0,905,구로구
2018-01,198,170,598980.0,3000,서대문구
2018-01,199,145,600470.0,3820,마포구
2018-01,200,119,629500.0,2319,영등포구
2018-01,2002,152,941050.0,5353,동작구
2018-01,2003,154,941960.0,5237,동작구
2018-01,2007,174,818510.0,3744,동작구
2018-01,2008,69,301080.0,1535,동작구
2018-01,2009,135,608750.0,2465,동작구
2018-01,201,163,650660.0,3908,영등포구
2018-01,2012,84,233010.0,1514,동작구
2018-01,2013,430,967330.0,5544,동작구
2018-01,2015,228,710770.0,4654,동작구
2018-01,2016,141,444800.0,2618,동작구
2018-01,202,425,1646860.0,6717,영등포구
2018-01,2020,85,252780.0,2037,동작구
2018-01,2024,137,524400.0,3856,동작구
2018-01,2025,158,1309890.0,7006,동작구
2018-01,2026,52,202850.0,1144,동작구
2018-01,2027,93,520150.0,2918,동작구
2018-01,2028,81,364920.0,1919,미상
2018-01,203,338,883990.0,5453,영등포구
2018-01,2032,80,185580.0,1383,동작구
2018-01,2033,59,90030.0,1220,동작구
2018-01,2034,80,404520.0,2841,동작구
2018-01,2036,18,78260.0,772,동작구
2018-01,2037,21,126740.0,1033,동작구
2018-01,2038,31,75960.0,419,동작구
2018-01,204,210,811810.0,5687,영등포구
2018-01,2040,34,119710.0,720,동작구
2018-01,2041,33,98270.0,780,동작구
2018-01,2048,136,359700.0,1310,동작구
2018-01,205,175,613410.0,4475,영등포구
2018-01,2050,446,1937090.0,9783,동작구
2018-01,2054,85,336810.0,2259,동작구
2018-01,2056,217,1025940.0,6159,동작구
2018-01,2057,66,221440.0,1373,동작구
2018-01,206,305,1030900.0,7139,영등포구
2018-01,207,721,2341280.0,15406,영등포구
2018-01,209,277,917990.0,4832,영등포구
2018-01,210,373,1213530.0,7315,영등포구
2018-01,2102,541,2313450.0,11322,관악구
2018-01,2103,296,1031850.0,5067,관악구
2018-01,2104,49,220490.0,1632,관악구
2018-01,2105,73,283600.0,1102,관악구
2018-01,2106,127,397880.0,2291,관악구
2018-01,2107,243,1300050.0,6417,관악구
2018-01,2108,162,513730.0,2491,관악구
2018-01,2109,190,717470.0,3478,관악구
2018-01,211,592,1723070.0,7091,영등포구
2018-01,2110,107,251660.0,1564,관악구
2018-01,2111,142,354870.0,2558,관악구
2018-01,2112,113,308880.0,2162,관악구
2018-01,2113,133,642360.0,2870,관악구
2018-01,2115,141,302680.0,1839,관악구
2018-01,2116,97,371330.0,2313,관악구
2018-01,2119,105,326050.0,2641,관악구
2018-01,212,371,696650.0,7654,영등포구
2018-01,2122,177,423660.0,3467,관악구
2018-01,2127,62,169470.0,943,관악구
2018-01,2128,107,354430.0,2264,관악구
2018-01,2129,153,320430.0,2216,관악구
2018-01,213,354,1173570.0,4506,영등포구
2018-01,2130,55,144780.0,825,관악구
2018-01,2135,190,766320.0,3552,관악구
2018-01,2136,226,926280.0,4695,관악구
2018-01,2137,59,183370.0,1234,관악구
2018-01,2139,263,1532460.0,7277,관악구
2018-01,214,239,747730.0,4059,영등포구
2018-01,2140,161,473180.0,3093,관악구
2018-01,2141,369,1800330.0,8288,관악구
2018-01,2143,116,632720.0,2698,관악구
2018-01,2144,33,120650.0,769,관악구
2018-01,2145,110,465110.0,2405,관악구
2018-01,2148,142,401250.0,3044,관악구
2018-01,215,84,290480.0,1737,영등포구
2018-01,2153,71,190250.0,1358,미상
2018-01,2156,100,307950.0,1749,관악구
2018-01,2157,135,483480.0,3021,미상
2018-01,216,406,999100.0,4841,미상
2018-01,217,397,621210.0,4189,영등포구
2018-01,218,240,361530.0,2543,영등포구
2018-01,219,218,410300.0,2263,영등포구
2018-01,220,229,925550.0,4418,영등포구
2018-01,2201,25,103020.0,468,서초구
2018-01,2202,350,784060.0,3352,서초구
2018-01,2203,45,119440.0,859,서초구
2018-01,2205,228,426460.0,1995,서초구
2018-01,2206,217,629690.0,2735,서초구
2018-01,2207,17,45550.0,229,서초구
2018-01,221,394,1136540.0,5351,영등포구
2018-01,2210,36,267530.0,1243,서초구
2018-01,2211,123,286340.0,1794,서초구
2018-01,2212,112,188380.0,1660,서초구
2018-01,2213,110,520040.0,3522,서초구
2018-01,2214,84,436070.0,2963,서초구
2018-01,2215,64,335330.0,2538,서초구
2018-01,2217,75,316020.0,1979,서초구
2018-01,2219,338,1872530.0,11878,서초구
2018-01,222,494,1408530.0,8672,영등포구
2018-01,2220,210,1349230.0,6876,서초구
2018-01,2221,91,366450.0,2208,서초구
2018-01,2222,161,529380.0,2118,서초구
2018-01,2223,48,154010.0,1098,서초구
